CEO,companyName,description,exchange,industry,issueType,sector,symbol,tags,website
Mark Elliott,Boxlight Corporation,"Boxlight Corp designs, produces and distributes interactive projectors and 70"" HD and 84"" 4k interactive LED flat panels.",NASDAQ Capital Market,Communication Equipment,cs,Technology,BOXL,"['Technology', 'Communication Equipment']",http://www.mimio.boxlight.com
Robert W. Dudley,BP p.l.c.,"BP PLC is an integrated oil and gas company. Its business activities involved oil and natural gas exploration, midstream transportation, supply and trading of crude oil, petrochemicals products and related services to wholesale and retail customers.",New York Stock Exchange,Oil & Gas - Integrated,cs,Energy,BP,"['Energy', 'Oil & Gas Integrated', 'Oil & Gas - Integrated']",http://www.bp.com
Anthony DeChellis,Boston Private Financial Holdings Inc.,"Boston Private Financial Holdings Inc is a wealth management company. It offers various wealth management services to high net worth individuals, families, businesses and select institution.",Nasdaq Global Select,Banks,cs,Financial Services,BPFH,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.bostonprivate.com
Andrew S. Clark,Bridgepoint Education Inc.,"Bridgepoint Education Inc is an education services company. It offers campus and online postsecondary programs through two universities, Ashford University and University of the Rockies. The firm offers degree programs in multiple fields.",New York Stock Exchange,Education,cs,Consumer Defensive,BPI,"['Consumer Defensive', 'Education & Training Services', 'Education']",http://www.bridgepointeducation.com
Clark C. Smith,Buckeye Partners L.P.,"Buckeye Partners LP is a US-based company which owns and operates a diversified network of integrated assets providing midstream logistic solutions, consisting of the transportation, storage, and marketing of liquid petroleum products.",New York Stock Exchange,Oil & Gas - Midstream,cs,Energy,BPL,"['Energy', 'Oil & Gas Midstream', 'Oil & Gas - Midstream']",http://www.buckeye.com
Jeffrey W. Albers,Blueprint Medicines Corporation,"Blueprint Medicines Corp is a biopharmaceutical company. It is focused on improving the lives of patients with diseases driven by abnormal kinase activation. Its drug candidates include avapritinib, BLU 554, BLU-782 and BLU-667.",Nasdaq Global Select,Biotechnology,cs,Healthcare,BPMC,"['Healthcare', 'Biotechnology']",http://www.blueprintmedicines.com
Robert P. Zinsmeister,BP Midstream Partners LP representing Limited Partner Interests,"BP Midstream Partners LP owns, operates, develops and acquires pipelines and other midstream assets.",New York Stock Exchange,Oil & Gas - Midstream,cs,Energy,BPMP,"['Energy', 'Oil & Gas Midstream', 'Oil & Gas - Midstream']",http://www.bpmidstreampartners.com
David S. Tierney,BioPharmX Corporation. Common,"BioPharmX Corp is a specialty pharmaceutical company. It is engaged in utilizing its proprietary drug delivery technologies to develop and commercialize novel prescription and over-the-counter, products that address markets in health and dermatology.",NYSE American,Biotechnology,cs,Healthcare,BPMX,"['Healthcare', 'Biotechnology']",http://www.biopharmx.com
Ignacio Alvarez,Popular Inc.,"Popular Inc is a publicly owned bank holding company, which offers retail and commercial banking services through its banking subsidiary, Banco Popular de Puerto Rico. The Bank also offers insurance and reinsurance services.",Nasdaq Global Select,Banks,cs,Financial Services,BPOP,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.popular.com
Brian William Kingston,Brookfield Property REIT Inc.,"GGP Inc is a self-administered and self-managed real estate investment trust. It is engaged in owning, managing, leasing, and redeveloping high-quality retail properties throughout the United States.",Nasdaq Global Select,REITs,cs,Real Estate,BPR,"['Real Estate', 'REIT - Retail', 'REITs']",https://bpy.brookfield.com
,The Bank of Princeton,The Bank of Princeton is a full service bank. The company provides personal and business lending and deposit services. Its personal banking and business banking services include checking accounts and savings accounts.,Nasdaq Global Select,Banks,cs,Financial Services,BPRN,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.thebankofprinceton.com
,BP Prudhoe Bay Royalty Trust,BP Prudhoe Bay Royalty Trust was formed for the purpose of owning and administering the royalty interest.,New York Stock Exchange,Oil & Gas - Refining & Marketing,cs,Energy,BPT,"['Energy', 'Oil & Gas Refining & Marketing', 'Oil & Gas - Refining & Marketing']",
Peter H. Nielsen,Bio-Path Holdings Inc.,Bio-Path Holdings Inc is a clinical and preclinical stage oncology focused antisense drug development company utilizing novel technology achieving systemic delivery for specific protein inhibition for any gene product that is over-expressed in disease.,NASDAQ Capital Market,Drug Manufacturers,cs,Healthcare,BPTH,"['Healthcare', 'Drug Manufacturers - Specialty & Generic', 'Drug Manufacturers']",http://www.biopathholdings.com
Brian William Kingston,Brookfield Property Partners L.P.,"Brookfield Property Partners LP owns, operates, and invests in commercial properties in North America, Europe, Australia, and Brazil. Its operating segment includes Core Office, Core Retail, Opportunistic and Corporate Segments.",Nasdaq Global Select,Real Estate Services,cs,Real Estate,BPY,"['Real Estate', 'Real Estate Services']",https://bpy.brookfield.com
John M. Perlowski,Blackrock New York Municipal Bond Trust of Beneficial Interest,Blackrock New York Municipal Bond Trust is a closed-end municipal bond fund with the investment objective to provide current income exempt from regular Federal income taxes and New York State and New York City personal income taxes.,New York Stock Exchange,Asset Management,cs,Financial Services,BQH,"['Financial Services', 'Asset Management']",https://www.blackrock.com
Richard J. Daly,Broadridge Financial Solutions Inc.Common Stock,"Broadridge Financial Solutions Inc provides investor communications & technology-driven solutions to banks, broker-dealers and corporate issuers. Its services include investor & customer communications, securities processing & data & analytics solutions.",New York Stock Exchange,Business Services,cs,Industrials,BR,"['Industrials', 'Business Services']",http://www.broadridge.com
Ken DeCubellis,Black Ridge Acquisition Corp.,Black Ridge Acquisition Corp is a blank check company.,NASDAQ Capital Market,Conglomerates,cs,Industrials,BRAC,"['Industrials', 'Conglomerates']",http://www.blackridgeoil.com
J. Michael Nauman,Brady Corporation,"Brady Corp is a manufacturer and supplier of identification solutions and workplace safety products that identify and protect premises, products and people.",New York Stock Exchange,Consulting & Outsourcing,cs,Industrials,BRC,"['Industrials', 'Security & Protection Services', 'Consulting & Outsourcing']",http://www.bradycorp.com
Andrew J. Thomas,Craft Brew Alliance Inc.,"Craft Brew Alliance Inc is a craft brewing company. It brews craft beers in four company-owned breweries located in Portland, Oregon; the Seattle suburb of Woodinville, Washington; Portsmouth, New Hampshire; & Kailua-Kona, Hawaii; & in Memphis, Tennessee.",Nasdaq Global Select,Beverages - Alcoholic,cs,Consumer Defensive,BREW,"['Consumer Defensive', 'Beverages - Brewers', 'Beverages - Alcoholic']",http://www.craftbrew.com
Lorival Nogueira Luz Junior,BRF S.A.,"BRF SA produces fresh and frozen protein foods that include poultry, pork, bovine, processed foods, and other. The company also offers margarine, mayonnaise, mustard, ketchup, and frozen prepared entrees, such as lasagna and pizzas.",New York Stock Exchange,Consumer Packaged Goods,cs,Consumer Defensive,BRFS,"['Consumer Defensive', 'Packaged Foods', 'Consumer Packaged Goods']",http://www.brf-br.com/ir
R. Ramin Kamfar,Bluerock Residential Growth REIT Inc. Class A,Bluerock Residential Growth REIT Inc invests in institutional-quality apartment properties in US growth markets. The Company's objective is to maximize returns through investments in Class A institutional-quality apartment properties in United States.,NYSE American,REITs,cs,Real Estate,BRG,"['Real Estate', 'REIT - Residential', 'REITs']",http://www.bluerockresidential.com
William L. Bridgford,Bridgford Foods Corporation,"Bridgford Foods Corporation manufactures, markets, and distributes frozen and snack food products in the United States. The business segments are processing and distribution of frozen products, and processing and distribution of snack food products.",NASDAQ Global Market,Consumer Packaged Goods,cs,Consumer Defensive,BRID,"['Consumer Defensive', 'Packaged Foods', 'Consumer Packaged Goods']",http://www.bridgford.com
Warren E. Buffett,Berkshire Hathaway Inc.,Berkshire Hathaway Inc is engaged in the financial services domain. Its core activity includes provision of insurance services.,New York Stock Exchange,Insurance,cs,Financial Services,BRK.A,"['Financial Services', 'Insurance - Diversified', 'Insurance']",http://www.berkshirehathaway.com
Warren E. Buffett,Berkshire Hathaway Inc.,Berkshire Hathaway Inc is engaged in the financial services domain. Its core activity includes provision of insurance services.,New York Stock Exchange,Insurance,cs,Financial Services,BRK.B,"['Financial Services', 'Insurance - Diversified', 'Insurance']",http://www.berkshirehathaway.com
Paul A. Perrault,Brookline Bancorp Inc.,"Brookline Bancorp Inc operates as a multi-bank holding company. Its offers commercial, business and retail banking services, including a full complement of cash management products, on-line banking services, consumer and residential loans.",Nasdaq Global Select,Banks,cs,Financial Services,BRKL,"['Financial Services', 'Banks - Regional - US', 'Banks']",https://www.brooklinebank.com
Frank H. Laukien,Bruker Corporation,"Bruker Corp is a developer, manufacturer and distributor of scientific instruments and analytical and dignostic solutions that enable customers to explore life and materials at microscopic, molecular and cellular levels.",Nasdaq Global Select,Medical Diagnostics & Research,cs,Healthcare,BRKR,"['Healthcare', 'Diagnostics & Research', 'Medical Diagnostics & Research']",http://www.bruker.com
